1021615,4355712,15138396,P,1601688552,913d5742-0fd8-46db-bb26-8cf0d09d90da
2178695,12498888,2595117,P,1601688552,3d29d1e2-d514-4991-bd79-9a866a10ad97
4306505,17843562,462120,P,1601688552,2dd496f4-7615-40f5-9d9e-bd5eab113519
1316425,18085380,6039696,P,1601688552,a5aa396e-11b6-466c-af37-96ee913ec2c8
3011370,25521774,14268315,P,1601688552,77ea91fb-cd06-4f0c-b0e1-7a00c0a6bad5
3690705,1792242,14268315,P,1601688552,fa93d73d-a188-4a6b-bb80-b244292ec1e6
2088160,22210836,15160524,P,1601688552,44d63078-c8f5-4dec-8f07-e23e18dfb783
4248490,24485214,6743361,P,1601688552,60f0f358-c803-43c8-9f42-a00bd20c7ac6
4675130,4296588,12437439,P,1601688552,a5a340ca-e641-4a13-9b2b-a0036f5f0bfc
3863305,2385090,8778060,C,1601688552,a0c63225-af05-4672-9816-572d3e37b844
853280,2473944,7562313,P,1601688552,364ae140-0cef-4d7e-a7ee-db0e9e02418c
3160805,29277204,7562313,P,1601688552,61f0c48d-7289-4513-a090-8f8d221b1644
3179960,13899750,7065216,P,1601688552,057faea9-a255-421c-9e2c-853603f791f2
1012740,10601868,14454321,P,1601688552,dfac5866-f644-4cb5-a303-e941fb331f77
4709790,10601868,14454321,P,1601688552,2616b10f-3982-4563-a30c-5386dd44d71e
1943885,27927534,9196935,P,1601688552,739e2c30-de78-40bc-8ff7-206236fe44ef
2749790,12243684,14268315,P,1601688553,be8cf067-af50-41f6-bd19-2a7527fdd48b
2769040,7773702,9744216,C,1601688553,64e91e2b-c094-48b8-80ec-c3a763f74fe7
3063645,14408430,4726866,P,1601688553,69da0542-4ef8-4b32-b39b-693932a8b304
3519700,19247652,9507885,P,1601688553,27656bb6-3fc0-4dbd-9e6e-4269cd16e28e
401905,758484,3843513,P,1601688553,7fa3da17-f439-4ad6-a35b-be5568f11831
3237730,20099274,11007132,P,1601688553,63e573b1-824a-44a4-80dd-f3d50eb21c4d
86385,3627336,12208500,P,1601688553,8917ecac-4994-4920-b3cc-8810f4540ec6
4889120,7330692,13074882,P,1601688553,b328b632-1353-4ca4-97e0-c777b68fa9a0
2717705,16799250,14268315,P,1601688553,a50df882-cd3e-4bb1-b93f-c417134cf15e
494310,7317342,14404278,P,1601688553,b7636070-4089-40b4-9476-6734fc3a5f60
